"id";"nom";"description";"lieu";"date";"heure";"type_id"
1;"Soirée dégustation rhum avec chants marins";"Une soirée pour découvrir notre gamme de rhum accompagné par des chants marins";"Laillé";02/03/2017;20:00;1
2;"Visite chateauneuf du pape";"Visite domaine alain jaume";"CHATEAUNEUF DU PAPE";13/08/2016;15:00;1
3;"Du vin et des gourmandises";"La passion et le partage";"Laille";03/03/2016;14:00;1
4;"Soirée avec guillaume joubin ancien sommelier de l";"Soirée à themes rhone";"Laillé";19/05/2016;19:30;1
5;"Soirée avec pascal pochon chocolatier st malo";"Dégustation de chocolats  
accords mets et vin";"Laillé";04/06/2016;17:00;1
6;"Visite pichon longueville bordeaux";"Rencontre avec les vignerons à bordeaux 
";"Bordeaux";11/09/2015;16:00;1
7;"Salon de paris";"Dégustations alcools fort";"Paris";10/10/2016;09:00;1
8;"Salon vignes et vilaine";"Salon de la loire";"Laillé";25/11/2016;09:00;1
9;"Rencontre avec monsieur rety ";"Rencontre avec monsieur rety( vigneron
domaine rety)le domaine rety vient de recevoir 3 étoiles dans le nouveau guide
hachette des vins 2018.le vin rouge primé est le cote du roussillon l'insolente
millésimé 2015 qui a reçu une note de 5 sur 5 soit 3 étoiles vin exceptionnel.";"Melesse";11/09/2017;17:30;1
10;"Soirée champagnes jean despret";"Dégustation de la gamme jean despret";"Laillé";18/11/2017;19:30;1
12;"Soirée domaine rety";"Animation du vigneron monsieur rety et découverte des vins du domaine.";"Laillé";08/12/2017;19:30;1
13;"Salon des vignerons indépendants rennes";"300exposants";"Rennes";28/01/2018;09:30;1
14;"Salon des vignerons indépendants rennes";"300exposants";"Rennes";28/01/2018;09:30;1
15;"Salon des vignerons indépendants rennes";"300 exposants";"Rennes";28/01/2018;09:30;1
16;"Salon des vignerons indépendants rennes";"300 exposants";"Rennes";28/01/2018;09:30;1
17;"Salon des vignerons indépendants rennes";"300 exposants";"Rennes";28/01/2018;09:30;1
18;"Salon des vignerons indépendants rennes";"300exposants";"Rennes";28/01/2018;09:30;1
19;"Salon des vignerons indépendants rennes";"300exposants";"Rennes";28/01/2018;09:30;1
20;"Le salon des vins de loire 2018";"300 exposants vins de loire 2018.";"Angers";05/02/2018;09:00;1
21;"Salon vignocaves rennes 2018";"Rencontre avec les vignerons (70 vignerons)";"Rennes";05/03/2018;09:00;1
22;"Salon de la bières artisanale saint-Malo";"52 exposants";"Saint-Malo";25/03/2018;13:00;1
23;"Salon de la bières rennes 2018";"Dégustations de bières du monde.(40 exposants).";"Rennes";09/04/2018;10:00;1
24;"Dégustation de rhums-Et whiskys chateau d\'apigné";"Dégustation et cour sur le rhums et whiskys
8 rhums/8 whiskys.";"le Rheu";16/04/2018;09:30;1
25;"Dégustation de bières artisanales brasserie du ton";"Découverte de bières artisanales et chants marins";"Laillé";14/06/2018;19:30;1
