"id";"nom";"description";"cepage";"notes_degustation";"accords";"temperature";"date_ajout";"prix";"est_promo";"debut_promo";"fin_promo";"stock";"poid";"categorie_id";"marque_id";"sous_categorie_id";"type_id";"photo"
5;"Skumen Rye indiapale ale issu de la culture biologique 75cl";"Issu de la culture biologique";"";"";"";;05/07/2018;5,50;False;;;0;132,00;5;0;3;0;"uploads/produit/Skumen-Rye-india-pale-al0_vH5vjx3.JPG"
6;"Bière Tri martolod 33cl";"Brassée à  concarneau (29).";"";"";"";;05/07/2018;2,40;False;;;8;55,00;5;1;4;0;"uploads/produit/Biere_Tri_Martolod_QDZfrzt.JPG"
7;"Gin Mare";"";"";"";"";;05/07/2018;36,00;False;;;1;125,00;1;;16;0;"uploads/produit/Gin_Mare_XLk4ZQm.JPG"
8;"Tequila Corralejo mexique";"";"";"";"";;05/07/2018;37,00;False;;;2;125,00;1;;15;0;"uploads/produit/Tequila_Corralejo_2okh1sy.JPG"
9;" Armagnac château laubade";"";"";"";"";;05/07/2018;41,00;False;;;1;125,00;1;;14;0;"uploads/produit/Chateau-De-laubade1_GIiyqdP.JPG"
10;" Armagnac château de laubade hors d'âge";"";"";"";"";;05/07/2018;52,00;False;;;0;125,00;1;;14;0;"uploads/produit/Chateau_de_Laubade_ktyobgU.JPG"
11;"Beaujolais Blanc";"Cépage chardonnay
accords::foie gras, poissons et apéritif.";"";"";"";;05/07/2018;12,00;False;;;12;125,00;3;;5;0;"uploads/produit/Beaujolais_Blanc_ZiDLroq.JPG"
12;"Ustersbacher  50cl bière belge";"";"";"";"";;05/07/2018;3,50;False;;;0;56,00;5;;3;0;"uploads/produit/Ustersbacher-Urhell0_LRY2PpH.JPG"
13;"Cidre coat-Albret brut";"";"";"";"";;05/07/2018;3,50;False;;;4;125,00;4;;50;0;"uploads/produit/Cidre-coat-Albret0_vN1rjQ9.JPG"
14;"Roussette De savoie";"Accords:raclette ,fondue de fromages,apéritif,charcuterie";"";"";"";;05/07/2018;13,30;False;;;6;125,00;3;;6;0;"uploads/produit/Monthoux0_2hAcYYr.JPG"
15;"Chignin Bergeron savoie";"Aromes puissants d'abricots et de pain grillé.
un foie gras poêlé accompagnera parfaitement un tel vin.";"";"";"";;05/07/2018;15,90;False;;;6;800,00;3;;6;0;"uploads/produit/Chignin-Bergeron0_JrQhrbd.JPG"
16;"Domaine Les esquirots";"";"";"";"";;05/07/2018;5,90;False;;;0;125,00;3;;7;0;"uploads/produit/none_7tBl9DJ.JPG"
17;"Domaine De perhus";"Cépages:gros manseng.
 arômes de fruits bien murs: ananas -mangue.
accords :foie gras ,apéritif, dessert.";"";"";"";;05/07/2018;6,20;False;;;6;125,00;3;;7;0;"uploads/produit/Domaine-De-perhus0_8wodh7c.JPG"
18;"Les Hauts de montrouge moelleux";"Accords:apéritif,foie gras,dessert chocolat";"";"";"";;05/07/2018;7,20;False;;;6;125,00;3;;7;0;"uploads/produit/Les-Hauts-de-montrouge0_N7kxNR0.JPG"
19;"Skumen Amber ale issu de la culture biologique 33cl";"Produit issu de l'agriculture biologique";"";"";"";;05/07/2018;2,80;False;;;0;56,00;5;0;1;0;"uploads/produit/Skumen-Amber-Ale0_kHEx65t.JPG"
20;"Skumen Amber ale 75cl";"Issu de la culture biologique";"";"";"";;05/07/2018;5,50;False;;;2;132,00;5;0;1;0;"uploads/produit/Skumen-Amber-Ale1_EqHc3Ly.JPG"
23;"Skumen Wheat india pale ale issu de la culture biologique 75cl";"Issu de la culture biologique";"";"";"";;05/07/2018;5,50;False;;;0;132,00;5;0;2;0;"uploads/produit/Skumen-Wheat-India-Pale-Ale0_VTrjb1I.JPG"
24;"Skumen Pale ale blonde issu de la culturebiologique 75cl";"Issu de la culture biologique";"";"";"";;05/07/2018;5,50;False;;;2;132,00;5;0;3;0;"uploads/produit/Skumen-Pale-Ale0_GuWzCnV.JPG"
25;"Perle De roseline rosé";"Accords :charcuterie, apéritif,salade.";"";"";"";;05/07/2018;7,40;False;;;18;125,00;3;;8;0;"uploads/produit/Perle-Cote-de-Provence0_0lX9tm4.JPG"
26;"Moulin-À-vent 2014";"Accords:plat épicé";"";"";"";;05/07/2018;12,30;False;;;24;125,00;3;;5;0;"uploads/produit/Moulin-a-vent0_NO93Thi.JPG"
27;"Fleurie ";"";"";"";"";;05/07/2018;11,80;False;;;24;125,00;3;;5;0;"uploads/produit/Fleurie0_OhaBwUq.JPG"
28;" Muscadet brin d'or domaine de la grange";"";"";"";"";;05/07/2018;5,90;False;;;6;125,00;3;;9;0;"uploads/produit/Brin-dor-domaine-de-la-grange0_MX01FBJ.JPG"
29;" Muscadet vieilles vignes domaine de la grange";"Accords :poisson en sauce.";"";"";"";;05/07/2018;6,75;False;;;8;125,00;3;;9;0;"uploads/produit/Vieilles-Vignes-Domaine-de-la-grange0_JGCkBsm.JPG"
30;"Bière Sainte colombe blonde 33cl";"Brassée à ste colombe (35).";"";"";"";;05/07/2018;2,40;False;;;0;56,00;5;2;3;0;"uploads/produit/Biere-Sainte-Colombe-Blonde0_L5AMIA5.JPG"
31;"Bière Sainte colombe blonde 75cl";"Brassée à ste colombe (35).";"";"";"";;05/07/2018;4,20;False;;;0;132,00;5;;3;0;"uploads/produit/Biere-Sainte-Colombe-Blonde1_Lz6B5QJ.JPG"
32;"Bière Sainte colombe blanche 75cl";"Brassée à ste colombe (35).";"";"";"";;05/07/2018;4,20;False;;;0;132,00;5;;2;0;"uploads/produit/Biere-Sainte-colombe-blanche0_uHll0rv.JPG"
