"id";"app";"name";"applied"
1;"contenttypes";"0001_initial";04/07/2018 16:03
2;"contenttypes";"0002_remove_content_type_name";04/07/2018 16:03
3;"auth";"0001_initial";04/07/2018 16:03
4;"auth";"0002_alter_permission_name_max_length";04/07/2018 16:03
5;"auth";"0003_alter_user_email_max_length";04/07/2018 16:03
6;"auth";"0004_alter_user_username_opts";04/07/2018 16:03
7;"auth";"0005_alter_user_last_login_null";04/07/2018 16:03
8;"auth";"0006_require_contenttypes_0002";04/07/2018 16:03
9;"auth";"0007_alter_validators_add_error_messages";04/07/2018 16:03
10;"auth";"0008_alter_user_username_max_length";04/07/2018 16:03
11;"auth";"0009_alter_user_last_name_max_length";04/07/2018 16:03
12;"user";"0001_initial";04/07/2018 16:03
13;"admin";"0001_initial";04/07/2018 16:03
14;"admin";"0002_logentry_remove_auto_add";04/07/2018 16:03
15;"event";"0001_initial";04/07/2018 16:03
16;"event";"0002_auto_20180703_1725";04/07/2018 16:03
17;"ipn";"0001_initial";04/07/2018 16:03
18;"ipn";"0002_paypalipn_mp_id";04/07/2018 16:03
19;"ipn";"0003_auto_20141117_1647";04/07/2018 16:03
20;"ipn";"0004_auto_20150612_1826";04/07/2018 16:03
21;"ipn";"0005_auto_20151217_0948";04/07/2018 16:03
22;"ipn";"0006_auto_20160108_1112";04/07/2018 16:03
23;"ipn";"0007_auto_20160219_1135";04/07/2018 16:03
24;"magasin";"0001_initial";04/07/2018 16:03
25;"magasin";"0002_auto_20180626_1438";04/07/2018 16:03
26;"magasin";"0003_auto_20180626_1438";04/07/2018 16:03
27;"magasin";"0004_auto_20180626_1446";04/07/2018 16:03
28;"magasin";"0005_auto_20180626_1600";04/07/2018 16:03
29;"magasin";"0006_auto_20180626_1601";04/07/2018 16:03
30;"magasin";"0007_auto_20180627_1036";04/07/2018 16:03
31;"magasin";"0008_auto_20180627_1105";04/07/2018 16:03
32;"magasin";"0009_auto_20180629_0923";04/07/2018 16:03
33;"magasin";"0010_auto_20180629_1203";04/07/2018 16:03
34;"magasin";"0011_auto_20180629_1205";04/07/2018 16:03
35;"magasin";"0012_auto_20180703_1725";04/07/2018 16:03
36;"magasin";"0013_auto_20180703_1732";04/07/2018 16:03
37;"magasin";"0014_auto_20180703_1851";04/07/2018 16:03
38;"magasin";"0015_auto_20180703_1854";04/07/2018 16:03
39;"magasin";"0016_auto_20180703_1903";04/07/2018 16:03
40;"magasin";"0017_auto_20180704_1802";04/07/2018 16:03
41;"sessions";"0001_initial";04/07/2018 16:03
42;"website";"0001_initial";04/07/2018 16:03
43;"website";"0002_remove_diver_data";04/07/2018 16:03
44;"website";"0003_diver_data";04/07/2018 16:03
45;"website";"0004_boutiqueimage";04/07/2018 16:03
46;"magasin";"0018_auto_20180706_1435";06/07/2018 12:35
